item_id,expected,anthropic:claude-haiku-4-5.verbalised::status,anthropic:claude-haiku-4-5.verbalised::level,anthropic:claude-haiku-4-5.verbalised::p,anthropic:claude-opus-5.verbalised::status,anthropic:claude-opus-5.verbalised::level,anthropic:claude-opus-5.verbalised::p,anthropic:claude-sonnet-4-5-20250929.verbalised::status,anthropic:claude-sonnet-4-5-20250929.verbalised::level,anthropic:claude-sonnet-4-5-20250929.verbalised::p,anthropic:claude-sonnet-5.verbalised::status,anthropic:claude-sonnet-5.verbalised::level,anthropic:claude-sonnet-5.verbalised::p,local:gemma4-31b-mtplx.verbalised::status,local:gemma4-31b-mtplx.verbalised::level,local:gemma4-31b-mtplx.verbalised::p,local:qwen36-35b-mtplx.verbalised::status,local:qwen36-35b-mtplx.verbalised::level,local:qwen36-35b-mtplx.verbalised::p,local:qwen36-mtplx.verbalised::status,local:qwen36-mtplx.verbalised::level,local:qwen36-mtplx.verbalised::p,openai:gpt-4.1.verbalised::status,openai:gpt-4.1.verbalised::level,openai:gpt-4.1.verbalised::p,openai:gpt-5.4-mini.verbalised::status,openai:gpt-5.4-mini.verbalised::level,openai:gpt-5.4-mini.verbalised::p,openai:gpt-5.5.verbalised::status,openai:gpt-5.5.verbalised::level,openai:gpt-5.5.verbalised::p,typesafe:jev-1.13.0.native::status,typesafe:jev-1.13.0.native::level,typesafe:jev-1.13.0.native::p
bank:19,L3,ok,2,"[0.02, 0.08, 0.75, 0.12, 0.03]",ok,2,"[0.01, 0.05, 0.82, 0.08, 0.04]",ok,2,"[0.0, 0.05, 0.85, 0.1, 0.0]",ok,2,"[0.02, 0.05, 0.75, 0.15, 0.03]",error,,,ok,2,"[0.0, 0.0, 0.9, 0.05, 0.05]",ok,2,"[0.0, 0.0, 0.9, 0.1, 0.0]",ok,2,"[0.01, 0.04, 0.93, 0.01, 0.01]",ok,2,"[0.01, 0.02, 0.94, 0.02, 0.01]",ok,2,"[0.01, 0.1, 0.82, 0.05, 0.02]",ok,2,"[0.0, 0.0, 1.0, 0.0, 0.0]"
bank:2,L2,ok,3,"[0.0, 0.0, 0.0, 0.95, 0.05]",ok,3,"[0.01, 0.02, 0.07, 0.8, 0.1]",ok,3,"[0.0, 0.0, 0.0, 1.0, 0.0]",ok,3,"[0.0, 0.0, 0.05, 0.85, 0.1]",error,,,ok,3,"[0.0, 0.0, 0.0, 0.95, 0.05]",ok,3,"[0.0, 0.0, 0.0, 0.95, 0.05]",ok,3,"[0.0, 0.0, 0.0, 1.0, 0.0]",ok,3,"[0.001, 0.003, 0.01, 0.97, 0.016]",ok,3,"[0.0, 0.0, 0.01, 0.98, 0.01]",ok,3,"[0.0, 0.0, 0.0, 1.0, 0.0]"
bank:20,L1,ok,4,"[0.0, 0.0, 0.0, 0.05, 0.95]",ok,4,"[0.01, 0.01, 0.03, 0.1, 0.85]",ok,4,"[0.0, 0.0, 0.0, 0.05, 0.95]",ok,4,"[0.01, 0.02, 0.05, 0.12, 0.8]",error,,,ok,4,"[0.01, 0.01, 0.02, 0.16, 0.8]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0001, 0.0001, 0.001, 0.01, 0.9888]",ok,4,"[0.01, 0.02, 0.05, 0.17, 0.75]",ok,4,"[0.25, 0.0, 0.02, 0.04, 0.68]"
bank:21,L1,ok,4,"[0.0, 0.0, 0.0, 0.05, 0.95]",ok,4,"[0.01, 0.01, 0.01, 0.05, 0.92]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.02, 0.98]",error,,,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.05, 0.95]",ok,4,"[0.0, 0.0, 0.0, 0.02, 0.98]",ok,4,"[0.0, 0.01, 0.02, 0.38, 0.59]"
bank:22,L1,ok,4,"[0.0, 0.0, 0.0, 0.15, 0.85]",ok,4,"[0.02, 0.03, 0.08, 0.22, 0.65]",ok,4,"[0.0, 0.0, 0.0, 0.05, 0.95]",ok,4,"[0.02, 0.03, 0.1, 0.15, 0.7]",error,,,ok,4,"[0.0, 0.0, 0.0, 0.1, 0.9]",ok,4,"[0.0, 0.0, 0.0, 0.05, 0.95]",ok,3,"[0.0, 0.0, 0.05, 0.9, 0.05]",ok,4,"[0.01, 0.01, 0.05, 0.2, 0.73]",ok,4,"[0.01, 0.02, 0.05, 0.17, 0.75]",ok,0,"[0.92, 0.01, 0.04, 0.01, 0.02]"
bank:23,L1,ok,4,"[0.0, 0.0, 0.0, 0.05, 0.95]",ok,4,"[0.01, 0.01, 0.05, 0.18, 0.75]",ok,4,"[0.0, 0.0, 0.0, 0.05, 0.95]",ok,4,"[0.01, 0.02, 0.05, 0.12, 0.8]",error,,,ok,4,"[0.0, 0.0, 0.0, 0.1, 0.9]",ok,4,"[0.0, 0.0, 0.0, 0.05, 0.95]",ok,3,"[0.0, 0.0, 0.05, 0.9, 0.05]",ok,4,"[0.01, 0.01, 0.05, 0.18, 0.75]",ok,4,"[0.01, 0.02, 0.07, 0.25, 0.65]",ok,2,"[0.12, 0.07, 0.32, 0.24, 0.25]"
bank:24,L1,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.001, 0.001, 0.003, 0.015, 0.98]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.02, 0.98]",error,,,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.05, 0.95]",ok,4,"[0.0, 0.0, 0.01, 0.04, 0.95]",ok,4,"[0.0, 0.0, 0.0, 0.07, 0.93]"
bank:25,L1,ok,4,"[0.0, 0.0, 0.0, 0.15, 0.85]",ok,4,"[0.03, 0.07, 0.1, 0.2, 0.6]",ok,4,"[0.0, 0.0, 0.05, 0.25, 0.7]",ok,4,"[0.02, 0.03, 0.1, 0.2, 0.65]",error,,,ok,4,"[0.0, 0.0, 0.0, 0.1, 0.9]",ok,3,"[0.0, 0.0, 0.0, 0.9, 0.1]",ok,3,"[0.01, 0.04, 0.15, 0.8, 0.0]",ok,4,"[0.01, 0.02, 0.08, 0.35, 0.54]",ok,4,"[0.03, 0.1, 0.18, 0.24, 0.45]",ok,3,"[0.12, 0.2, 0.2, 0.41, 0.07]"
bank:26,L1,ok,4,"[0.02, 0.03, 0.05, 0.15, 0.75]",ok,4,"[0.02, 0.03, 0.2, 0.25, 0.5]",ok,4,"[0.0, 0.0, 0.0, 0.05, 0.95]",ok,4,"[0.02, 0.03, 0.1, 0.15, 0.7]",error,,,ok,4,"[0.01, 0.02, 0.05, 0.12, 0.8]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,3,"[0.0, 0.0, 0.05, 0.9, 0.05]",ok,4,"[0.001, 0.003, 0.01, 0.08, 0.906]",ok,3,"[0.01, 0.03, 0.35, 0.5, 0.11]",ok,2,"[0.12, 0.07, 0.58, 0.11, 0.12]"
bank:27,L1,ok,4,"[0.0, 0.0, 0.15, 0.2, 0.65]",ok,4,"[0.01, 0.01, 0.22, 0.06, 0.7]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.02, 0.03, 0.1, 0.15, 0.7]",error,,,ok,4,"[0.0, 0.0, 0.0, 0.1, 0.9]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0001, 0.0002, 0.0003, 0.002, 0.9974]",ok,4,"[0.0, 0.0, 0.03, 0.07, 0.9]",ok,2,"[0.0, 0.0, 0.67, 0.0, 0.33]"
bank:28,L1,ok,4,"[0.0, 0.0, 0.05, 0.1, 0.85]",ok,4,"[0.01, 0.01, 0.05, 0.03, 0.9]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.02, 0.08, 0.9]",error,,,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.001, 0.001, 0.01, 0.03, 0.958]",ok,4,"[0.01, 0.01, 0.08, 0.05, 0.85]",ok,4,"[0.09, 0.0, 0.2, 0.0, 0.71]"
bank:29,L1,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.01, 0.01, 0.03, 0.05, 0.9]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.02, 0.05, 0.13, 0.8]",error,,,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0001, 0.0001, 0.0002, 0.002, 0.9976]",ok,4,"[0.0, 0.0, 0.0, 0.02, 0.98]",ok,4,"[0.0, 0.0, 0.16, 0.0, 0.84]"
bank:3,L2,ok,2,"[0.05, 0.15, 0.75, 0.04, 0.01]",ok,3,"[0.01, 0.04, 0.3, 0.6, 0.05]",ok,2,"[0.0, 0.0, 0.95, 0.05, 0.0]",ok,3,"[0.02, 0.05, 0.15, 0.6, 0.18]",error,,,ok,2,"[0.0, 0.0, 0.9, 0.05, 0.05]",ok,2,"[0.0, 0.0, 0.9, 0.1, 0.0]",ok,2,"[0.0, 0.05, 0.9, 0.05, 0.0]",ok,3,"[0.0, 0.0, 0.08, 0.9, 0.02]",ok,2,"[0.01, 0.08, 0.82, 0.08, 0.01]",ok,3,"[0.0, 0.01, 0.48, 0.51, 0.0]"
bank:30,L1,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.05, 0.08, 0.05, 0.07, 0.75]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.02, 0.02, 0.05, 0.11, 0.8]",error,,,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.05, 0.95]",ok,4,"[0.01, 0.01, 0.01, 0.07, 0.9]",ok,4,"[0.07, 0.01, 0.0, 0.0, 0.92]"
bank:31,L1,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.02, 0.06, 0.07, 0.05, 0.8]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.02, 0.03, 0.1, 0.1, 0.75]",error,,,ok,4,"[0.0, 0.0, 0.0, 0.1, 0.9]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,0,"[0.52, 0.36, 0.04, 0.02, 0.06]",ok,4,"[0.01, 0.02, 0.02, 0.05, 0.9]",ok,1,"[0.12, 0.54, 0.02, 0.0, 0.32]"
bank:32,L1,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.05, 0.08, 0.09, 0.08, 0.7]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.02, 0.03, 0.08, 0.12, 0.75]",error,,,ok,4,"[0.0, 0.0, 0.0, 0.1, 0.9]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.001, 0.001, 0.003, 0.03, 0.965]",ok,4,"[0.01, 0.02, 0.02, 0.05, 0.9]",ok,4,"[0.18, 0.12, 0.01, 0.0, 0.69]"
bank:33,L4,ok,1,"[0.15, 0.7, 0.1, 0.04, 0.01]",ok,1,"[0.05, 0.55, 0.25, 0.12, 0.03]",ok,1,"[0.15, 0.55, 0.25, 0.04, 0.01]",ok,1,"[0.1, 0.65, 0.18, 0.06, 0.01]",error,,,ok,1,"[0.1, 0.7, 0.15, 0.04, 0.01]",ok,1,"[0.05, 0.75, 0.15, 0.03, 0.02]",ok,1,"[0.05, 0.85, 0.08, 0.02, 0.0]",ok,1,"[0.08, 0.84, 0.05, 0.02, 0.01]",ok,1,"[0.1, 0.75, 0.12, 0.02, 0.01]",ok,1,"[0.0, 0.96, 0.04, 0.0, 0.0]"
bank:34,L4,ok,1,"[0.05, 0.85, 0.08, 0.02, 0.0]",ok,1,"[0.05, 0.75, 0.15, 0.03, 0.02]",ok,1,"[0.05, 0.85, 0.08, 0.02, 0.0]",ok,1,"[0.05, 0.75, 0.15, 0.04, 0.01]",error,,,ok,1,"[0.0, 0.9, 0.05, 0.03, 0.02]",ok,1,"[0.05, 0.9, 0.03, 0.01, 0.01]",ok,1,"[0.05, 0.85, 0.08, 0.01, 0.01]",ok,1,"[0.06, 0.88, 0.03, 0.02, 0.01]",ok,1,"[0.05, 0.9, 0.04, 0.01, 0.0]",ok,1,"[0.0, 1.0, 0.0, 0.0, 0.0]"
bank:35,L4,ok,1,"[0.15, 0.7, 0.1, 0.04, 0.01]",ok,1,"[0.08, 0.62, 0.22, 0.06, 0.02]",ok,1,"[0.15, 0.65, 0.15, 0.03, 0.02]",ok,1,"[0.05, 0.7, 0.2, 0.04, 0.01]",error,,,ok,1,"[0.0, 0.9, 0.05, 0.05, 0.0]",ok,1,"[0.05, 0.85, 0.05, 0.03, 0.02]",ok,1,"[0.05, 0.85, 0.08, 0.01, 0.01]",ok,1,"[0.06, 0.9, 0.03, 0.01, 0.0]",ok,1,"[0.08, 0.85, 0.05, 0.015, 0.005]",ok,1,"[0.0, 0.98, 0.02, 0.0, 0.0]"
bank:36,L4,ok,1,"[0.15, 0.7, 0.1, 0.04, 0.01]",ok,1,"[0.1, 0.6, 0.22, 0.06, 0.02]",ok,1,"[0.05, 0.75, 0.15, 0.04, 0.01]",ok,1,"[0.05, 0.75, 0.15, 0.04, 0.01]",error,,,ok,1,"[0.1, 0.8, 0.05, 0.03, 0.02]",ok,1,"[0.05, 0.85, 0.05, 0.03, 0.02]",ok,1,"[0.05, 0.85, 0.08, 0.01, 0.01]",ok,1,"[0.03, 0.92, 0.03, 0.01, 0.01]",ok,1,"[0.12, 0.78, 0.07, 0.02, 0.01]",ok,1,"[0.06, 0.93, 0.01, 0.0, 0.0]"
bank:37,L4,ok,1,"[0.15, 0.7, 0.1, 0.04, 0.01]",ok,1,"[0.08, 0.62, 0.22, 0.06, 0.02]",ok,1,"[0.15, 0.65, 0.15, 0.03, 0.02]",ok,1,"[0.1, 0.6, 0.2, 0.08, 0.02]",error,,,ok,1,"[0.05, 0.85, 0.05, 0.03, 0.02]",ok,1,"[0.05, 0.85, 0.05, 0.03, 0.02]",ok,1,"[0.05, 0.85, 0.08, 0.01, 0.01]",ok,1,"[0.04, 0.9, 0.04, 0.01, 0.01]",ok,1,"[0.08, 0.78, 0.1, 0.03, 0.01]",ok,1,"[0.0, 1.0, 0.0, 0.0, 0.0]"
bank:38,L4,ok,1,"[0.15, 0.75, 0.08, 0.02, 0.0]",ok,1,"[0.1, 0.78, 0.09, 0.02, 0.01]",ok,1,"[0.05, 0.85, 0.08, 0.01, 0.01]",ok,1,"[0.1, 0.75, 0.1, 0.03, 0.02]",error,,,ok,1,"[0.05, 0.9, 0.03, 0.01, 0.01]",ok,1,"[0.05, 0.9, 0.03, 0.01, 0.01]",ok,1,"[0.05, 0.85, 0.08, 0.01, 0.01]",ok,1,"[0.08, 0.88, 0.02, 0.01, 0.01]",ok,1,"[0.1, 0.85, 0.03, 0.01, 0.01]",ok,1,"[0.0, 1.0, 0.0, 0.0, 0.0]"
bank:39,L4,ok,1,"[0.15, 0.75, 0.08, 0.01, 0.01]",ok,1,"[0.12, 0.75, 0.1, 0.02, 0.01]",ok,1,"[0.05, 0.85, 0.08, 0.01, 0.01]",ok,1,"[0.1, 0.75, 0.1, 0.04, 0.01]",error,,,ok,1,"[0.0, 0.9, 0.05, 0.03, 0.02]",ok,1,"[0.05, 0.85, 0.05, 0.03, 0.02]",ok,1,"[0.05, 0.85, 0.07, 0.02, 0.01]",ok,1,"[0.05, 0.9, 0.03, 0.01, 0.01]",ok,1,"[0.05, 0.9, 0.03, 0.01, 0.01]",ok,1,"[0.0, 1.0, 0.0, 0.0, 0.0]"
bank:4,L2,ok,3,"[0.01, 0.05, 0.15, 0.75, 0.04]",ok,3,"[0.01, 0.04, 0.2, 0.68, 0.07]",ok,2,"[0.0, 0.05, 0.85, 0.1, 0.0]",ok,3,"[0.0, 0.03, 0.12, 0.75, 0.1]",error,,,ok,2,"[0.0, 0.0, 0.9, 0.05, 0.05]",ok,3,"[0.0, 0.0, 0.0, 0.95, 0.05]",ok,2,"[0.0, 0.05, 0.9, 0.05, 0.0]",ok,3,"[0.01, 0.02, 0.08, 0.88, 0.01]",ok,3,"[0.0, 0.02, 0.28, 0.68, 0.02]",ok,3,"[0.0, 0.0, 0.13, 0.87, 0.0]"
bank:40,L3,ok,1,"[0.05, 0.7, 0.2, 0.04, 0.01]",ok,1,"[0.03, 0.5, 0.27, 0.18, 0.02]",ok,1,"[0.05, 0.7, 0.2, 0.04, 0.01]",ok,2,"[0.05, 0.25, 0.4, 0.25, 0.05]",error,,,ok,1,"[0.05, 0.85, 0.08, 0.01, 0.01]",ok,2,"[0.05, 0.15, 0.6, 0.15, 0.05]",ok,1,"[0.05, 0.8, 0.1, 0.04, 0.01]",ok,1,"[0.05, 0.8, 0.12, 0.02, 0.01]",ok,1,"[0.05, 0.65, 0.25, 0.04, 0.01]",ok,1,"[0.0, 0.89, 0.1, 0.01, 0.0]"
bank:41,L3,ok,2,"[0.15, 0.25, 0.45, 0.12, 0.03]",ok,3,"[0.03, 0.22, 0.25, 0.45, 0.05]",ok,3,"[0.0, 0.05, 0.25, 0.65, 0.05]",ok,3,"[0.03, 0.1, 0.27, 0.45, 0.15]",error,,,ok,3,"[0.05, 0.15, 0.25, 0.45, 0.1]",ok,3,"[0.0, 0.0, 0.1, 0.8, 0.1]",ok,1,"[0.05, 0.7, 0.2, 0.05, 0.0]",ok,1,"[0.03, 0.72, 0.2, 0.04, 0.01]",ok,1,"[0.15, 0.55, 0.25, 0.04, 0.01]",ok,1,"[0.02, 0.58, 0.23, 0.17, 0.0]"
